name,module,stable_url,http_status,resolved_url,latest_url,latest_http_status
runtimeError,exceptions,https://arturo-lang.io/documentation/library/exceptions/runtimeerror,200,https://arturo-lang.io/documentation/library/exceptions/runtimeerror,https://arturo-lang.io/latest/documentation/library/exceptions/runtimeerror,200
syntaxError,exceptions,https://arturo-lang.io/documentation/library/exceptions/syntaxerror,200,https://arturo-lang.io/documentation/library/exceptions/syntaxerror,https://arturo-lang.io/latest/documentation/library/exceptions/syntaxerror,200
systemError,exceptions,https://arturo-lang.io/documentation/library/exceptions/systemerror,200,https://arturo-lang.io/documentation/library/exceptions/systemerror,https://arturo-lang.io/latest/documentation/library/exceptions/systemerror,200
throw,exceptions,https://arturo-lang.io/documentation/library/exceptions/throw,200,https://arturo-lang.io/documentation/library/exceptions/throw,https://arturo-lang.io/latest/documentation/library/exceptions/throw,200
throws?,exceptions,https://arturo-lang.io/documentation/library/exceptions/throws-,200,https://arturo-lang.io/documentation/library/exceptions/throws-,https://arturo-lang.io/latest/documentation/library/exceptions/throws-,200
try,exceptions,https://arturo-lang.io/documentation/library/exceptions/try,200,https://arturo-lang.io/documentation/library/exceptions/try,https://arturo-lang.io/latest/documentation/library/exceptions/try,200
typeError,exceptions,https://arturo-lang.io/documentation/library/exceptions/typeerror,200,https://arturo-lang.io/documentation/library/exceptions/typeerror,https://arturo-lang.io/latest/documentation/library/exceptions/typeerror,200
uiError,exceptions,https://arturo-lang.io/documentation/library/exceptions/uierror,200,https://arturo-lang.io/documentation/library/exceptions/uierror,https://arturo-lang.io/latest/documentation/library/exceptions/uierror,200
valueError,exceptions,https://arturo-lang.io/documentation/library/exceptions/valueerror,200,https://arturo-lang.io/documentation/library/exceptions/valueerror,https://arturo-lang.io/latest/documentation/library/exceptions/valueerror,200
vmError,exceptions,https://arturo-lang.io/documentation/library/exceptions/vmerror,200,https://arturo-lang.io/documentation/library/exceptions/vmerror,https://arturo-lang.io/latest/documentation/library/exceptions/vmerror,200
copy,files,https://arturo-lang.io/documentation/library/files/copy,200,https://arturo-lang.io/documentation/library/files/copy,https://arturo-lang.io/latest/documentation/library/files/copy,200
delete,files,https://arturo-lang.io/documentation/library/files/delete,200,https://arturo-lang.io/documentation/library/files/delete,https://arturo-lang.io/latest/documentation/library/files/delete,200
directory?,files,https://arturo-lang.io/documentation/library/files/directory-,200,https://arturo-lang.io/documentation/library/files/directory-,https://arturo-lang.io/latest/documentation/library/files/directory-,200
